Player,Team,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
James Harden,HOU,7,4,3,36.4,12.4,4.3,12.3,34.9,3.9,11,35.1,50.6
D'Angelo Russell,BKN,5,1,4,29.6,10.2,4.2,12,35,1.8,5,36,42.5
CJ McCollum,POR,8,6,2,40.2,10.6,4.4,10.1,43.2,1.9,4.8,39.5,52.5
Kevin Durant,GSW,8,6,2,38.1,10.6,4.8,10,47.5,1.1,2.6,42.9,53.1
DeMar DeRozan,SAS,7,3,4,35.8,8,4,9.7,41.2,0,0.1,0,41.2
Damian Lillard,POR,8,6,2,42.2,11.3,4.1,9.6,42.9,3,6.6,45.3,58.4
Kyrie Irving,BOS,7,5,2,36.2,8.9,3.9,9.4,40.9,1.1,3.3,34.8,47
Kawhi Leonard,TOR,8,5,3,35.9,11.8,5.3,9.1,57.5,1.3,3.3,38.5,64.4
Chris Paul,HOU,7,4,3,34.5,9,3.7,9,41.3,1.6,5.3,29.7,50
Jamal Murray,DEN,10,5,5,35.4,9.3,4.1,8.4,48.8,1.1,2.5,44,55.4
Russell Westbrook,OKC,5,1,4,39.4,4.8,2.2,8.2,26.8,0.4,2,20,29.3
Donovan Mitchell,UTA,5,1,4,38.6,4.8,2,8.2,24.4,0.8,4,20,29.3
Lou Williams,LAC,6,2,4,29.4,7,3.2,8,39.6,0.7,2,33.3,43.8
Paul George,OKC,5,1,4,40.8,5.8,2.4,7.4,32.4,1,3.6,27.8,39.2
Caris LeVert,BKN,5,1,4,28.9,6.8,2.6,7,37.1,1.6,4,40,48.6
Stephen Curry,GSW,8,6,2,33.9,7.1,2.6,6.6,39.6,1.9,4.5,41.7,53.8
Reggie Jackson,DET,4,0,4,26.9,5.8,2.5,6.5,38.5,0.8,2,37.5,44.2
Darren Collison,IND,4,0,4,29.2,5.8,2.5,6.3,40,0.8,1,75,46
LaMarcus Aldridge,SAS,7,3,4,34.9,4.1,2,5.4,36.8,0.1,0.3,50,38.2
Dennis Schroder,OKC,5,1,4,30.1,6.4,3,5.4,55.6,0.4,1,40,59.3
Tobias Harris,PHI,8,6,2,35.9,4.4,2.1,5.3,40.5,0.1,0.9,14.3,41.7
Luke Kennard,DET,4,0,4,33.2,6.5,3,5.3,57.1,0.5,0.8,66.7,61.9
Khris Middleton,MIL,7,6,1,31.9,7.1,2.7,5.3,51.4,1.7,2.7,63.2,67.6
Ish Smith,DET,4,0,4,20.2,3,1.5,5.3,28.6,0,0.3,0,28.6
Danilo Gallinari,LAC,6,2,4,33.6,2.5,1,5.3,18.8,0.5,2.3,21.4,23.4
Jimmy Butler,PHI,8,6,2,34.2,3.6,1.8,5.1,34.1,0.1,1.8,7.1,35.4
