Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,STL,BLK,DREB,DFGM,DFGA,DFG%
1,Milwaukee Bucks,E,C,36,13,0.735,9.65,113.97,104.81,9.16,8.82,113.66,105.32,8.34,7.7,6,39.8,11.5,19.7,58.2
3,Oklahoma City Thunder,W,NW,32,18,0.64,5.02,110.74,105.84,4.9,4.22,109.79,105.66,4.13,10.2,5.4,35.7,16.7,26.2,63.6
4,Indiana Pacers,E,C,32,18,0.64,4.4,110.52,106.05,4.47,3.06,109.85,106.72,3.13,8.8,5,34.1,15.5,24.3,63.6
5,Boston Celtics,E,A,32,19,0.627,6.8,112.95,106.11,6.84,5.87,112.68,106.78,5.9,8.8,5.7,34.9,14.9,23.5,63.2
2,Utah Jazz,W,NW,29,23,0.558,2.98,109.06,106.17,2.89,3.87,109.38,105.61,3.78,8.4,5.5,35.4,14.7,23.9,61.4
9,Miami Heat,E,SE,24,25,0.49,-0.16,107.93,108.06,-0.13,-1.45,107.49,108.92,-1.43,7.4,5.8,34.9,13.8,23.2,59.5
6,Memphis Grizzlies,W,SW,20,32,0.385,-3.23,104.87,108.29,-3.41,-1.91,104.93,107.01,-2.08,8.6,5.9,32.1,14,22.5,62.3
7,Los Angeles Lakers,W,P,26,25,0.51,0.22,108.62,108.34,0.28,0.11,108.22,108.04,0.18,7.7,5.6,36.9,16.6,27.6,60.3
8,Toronto Raptors,E,A,37,15,0.712,5.4,113.86,108.46,5.4,5.18,113.83,108.68,5.16,8.4,5.5,34.8,15.2,24.6,61.7
11,Denver Nuggets,W,NW,35,15,0.7,5.68,114.99,109.13,5.86,5.31,114.75,109.27,5.48,7.9,4.5,34.5,15.9,25.3,62.7
14,Philadelphia 76ers,E,A,33,18,0.647,3.61,113.08,109.55,3.53,2.77,112.89,110.2,2.69,7.6,5.6,36.8,16.2,26.3,61.6
12,Detroit Pistons,E,C,21,28,0.429,-2.78,106.82,109.6,-2.77,-2.66,106.86,109.55,-2.69,7,3.7,34,17.4,25.5,68.4
10,Dallas Mavericks,W,SW,23,27,0.46,0.48,110.26,109.64,0.62,1.04,110.47,109.27,1.2,7.3,4.5,35.6,16,24.3,65.9
15,Golden State Warriors,W,P,36,14,0.72,7.28,117.5,110.29,7.21,7.2,117.53,110.38,7.15,7.4,6.4,36.7,16.1,24.8,65
13,Portland Trail Blazers,W,NW,32,20,0.615,3.1,113.6,110.36,3.24,3.72,113.84,109.99,3.85,6.6,5.1,36.7,15,23.3,64.4
16,Orlando Magic,E,SE,20,31,0.392,-3.65,106.67,110.4,-3.73,-3.75,106.64,110.47,-3.83,6.4,5.3,34,15.3,24,63.8
21,Brooklyn Nets,E,A,28,24,0.538,0.33,111.37,111.06,0.31,-0.71,110.99,111.71,-0.72,6.7,4,34.7,15.6,24.9,62.7
17,Minnesota Timberwolves,W,NW,25,26,0.49,0.16,111.25,111.08,0.17,0.49,111.47,110.95,0.51,8.8,5.3,33.3,16.9,25.8,65.7
23,Charlotte Hornets,E,SE,24,26,0.48,0.04,111.5,111.33,0.17,-0.8,111.45,112.14,-0.7,7.1,5.1,34.7,17.4,26.5,65.8
19,San Antonio Spurs,W,SW,30,22,0.577,2.54,114.03,111.47,2.57,2.95,114.47,111.48,2.98,6.3,4.6,35,14.3,21.9,65.4
22,Sacramento Kings,W,P,26,25,0.51,-1.63,110.12,111.63,-1.52,-1.12,110.71,111.72,-1.01,8.4,4.6,33.8,18,27.1,66.4
20,Chicago Bulls,E,C,12,40,0.231,-9.37,102.57,111.91,-9.35,-9.24,102.39,111.62,-9.24,7.7,4.5,34,16,24.7,64.7
18,Los Angeles Clippers,W,P,28,23,0.549,0.63,112.7,112.13,0.57,1.28,112.73,111.48,1.26,6.3,4.6,35.7,17.7,26.8,66
24,New Orleans Pelicans,W,SW,23,29,0.442,1.4,114.06,112.65,1.41,1.92,114.08,112.16,1.92,7.3,5.7,36,16.7,25.9,64.5
26,Washington Wizards,E,SE,22,29,0.431,-2.61,110.3,112.86,-2.56,-3.2,109.89,113.06,-3.16,8.9,4.7,31.7,18.3,27.6,66.4
25,Houston Rockets,W,SW,29,21,0.58,1.42,114.54,113.09,1.46,1.99,115.04,113.03,2.01,8,5.4,31.2,17.7,26.6,66.5
27,Atlanta Hawks,E,SE,16,34,0.32,-7.64,106.2,113.35,-7.14,-7.68,106.25,113.46,-7.21,8.5,5.3,33.6,16.5,25.3,65.3
29,New York Knicks,E,A,10,40,0.2,-8.8,105.85,114.67,-8.82,-7.95,106.37,114.34,-7.98,7.5,4.6,33,17.6,26.2,67.2
28,Phoenix Suns,W,P,11,42,0.208,-9.62,105.25,114.75,-9.5,-8.04,106,113.9,-7.9,8.9,5.2,31.1,18.2,27.7,65.7
30,Cleveland Cavaliers,E,C,11,41,0.212,-10.71,107.13,118.3,-11.17,-10.55,107.61,118.59,-10.98,6.7,2.6,31.6,17.9,26,68.8
